source,mlbam_id,fg_id,player_name,team,dynasty_rank,dynasty_tier,notes
FantraxHQ 2026 dynasty rankings,660271,6602710,Shohei Ohtani,LAD,1,,
FantraxHQ 2026 dynasty rankings,677951,677951,Bobby Witt Jr.,KC,2,,
FantraxHQ 2026 dynasty rankings,660670,660670,Ronald Acuna Jr.,ATL,3,,
FantraxHQ 2026 dynasty rankings,592450,15640,Aaron Judge,NYY,4,,
FantraxHQ 2026 dynasty rankings,669373,669373,Tarik Skubal,DET,5,,
FantraxHQ 2026 dynasty rankings,694973,694973,Paul Skenes,PIT,6,,
FantraxHQ 2026 dynasty rankings,665742,665742,Juan Soto,NYM,7,,
FantraxHQ 2026 dynasty rankings,682998,682998,Corbin Carroll,AZ,8,,
FantraxHQ 2026 dynasty rankings,677594,677594,Julio Rodriguez,SEA,9,,
FantraxHQ 2026 dynasty rankings,682829,682829,Elly De La Cruz,CIN,10,,
FantraxHQ 2026 dynasty rankings,676979,676979,Garrett Crochet,BOS,11,,
FantraxHQ 2026 dynasty rankings,694192,694192,Jackson Chourio,MIL,12,,
FantraxHQ 2026 dynasty rankings,608070,13510,Jose Ramirez,CLE,13,,
FantraxHQ 2026 dynasty rankings,691406,691406,Junior Caminero,TB,14,,
FantraxHQ 2026 dynasty rankings,665487,665487,Fernando Tatis Jr.,SD,15,,
FantraxHQ 2026 dynasty rankings,701762,701762,Nick Kurtz,ATH,16,,
FantraxHQ 2026 dynasty rankings,665489,665489,Vladimir Guerrero Jr.,TOR,17,,
FantraxHQ 2026 dynasty rankings,663656,663656,Kyle Tucker,FA,18,,
FantraxHQ 2026 dynasty rankings,695578,695578,James Wood,WSH,19,,
FantraxHQ 2026 dynasty rankings,683002,683002,Gunnar Henderson,BAL,20,,
FantraxHQ 2026 dynasty rankings,663728,663728,Cal Raleigh,SEA,21,,
FantraxHQ 2026 dynasty rankings,701350,701350,Roman Anthony,BOS,22,,
FantraxHQ 2026 dynasty rankings,596019,12916,Francisco Lindor,NYM,23,,
FantraxHQ 2026 dynasty rankings,686613,686613,Hunter Brown,HOU,24,,
FantraxHQ 2026 dynasty rankings,808967,808967,Yoshinobu Yamamoto,LAD,25,,
FantraxHQ 2026 dynasty rankings,665862,665862,Jazz Chisholm Jr.,NYY,26,,
FantraxHQ 2026 dynasty rankings,669302,669302,Logan Gilbert,SEA,27,,
FantraxHQ 2026 dynasty rankings,694671,694671,Wyatt Langford,TEX,28,,
FantraxHQ 2026 dynasty rankings,656941,16478,Kyle Schwarber,PHI,29,,
FantraxHQ 2026 dynasty rankings,606466,13613,Ketel Marte,AZ,30,,
FantraxHQ 2026 dynasty rankings,670541,670541,Yordan Alvarez,HOU,31,,
FantraxHQ 2026 dynasty rankings,624413,624413,Pete Alonso,BAL,32,,
FantraxHQ 2026 dynasty rankings,687263,687263,Zach Neto,LAA,33,,
FantraxHQ 2026 dynasty rankings,650911,650911,Cristopher Sanchez,PHI,34,,
FantraxHQ 2026 dynasty rankings,691718,691718,Pete Crow-Armstrong,CHC,35,,
FantraxHQ 2026 dynasty rankings,646240,646240,Rafael Devers,SF,36,,
FantraxHQ 2026 dynasty rankings,607208,16252,Trea Turner,PHI,37,,
FantraxHQ 2026 dynasty rankings,682985,682985,Riley Greene,DET,38,,
FantraxHQ 2026 dynasty rankings,621566,14344,Matt Olson,ATL,39,,
FantraxHQ 2026 dynasty rankings,668881,668881,Hunter Greene,CIN,40,,
FantraxHQ 2026 dynasty rankings,547180,11579,Bryce Harper,PHI,41,,
FantraxHQ 2026 dynasty rankings,804606,804606,Konnor Griffin,PIT,42,,
FantraxHQ 2026 dynasty rankings,701538,701538,Jackson Merrill,SD,43,,
FantraxHQ 2026 dynasty rankings,592518,11493,Manny Machado,SD,44,,
FantraxHQ 2026 dynasty rankings,605141,13611,Mookie Betts,LAD,45,,
FantraxHQ 2026 dynasty rankings,682928,682928,CJ Abrams,WSH,46,,
FantraxHQ 2026 dynasty rankings,691587,691587,Eury Perez,MIA,47,,
FantraxHQ 2026 dynasty rankings,666142,666142,Cole Ragans,KC,48,,
FantraxHQ 2026 dynasty rankings,695243,695243,Mason Miller,SD,49,,
FantraxHQ 2026 dynasty rankings,667670,667670,Brent Rooker,ATH,50,,
FantraxHQ 2026 dynasty rankings,805808,805808,Kevin McGonigle,DET,51,,
FantraxHQ 2026 dynasty rankings,815908,815908,Jesus Made,MIL,52,,
FantraxHQ 2026 dynasty rankings,,,Leodalis De Vries,ATH,53,,
FantraxHQ 2026 dynasty rankings,680885,680885,Spencer Schwellenbach,ATL,54,,
FantraxHQ 2026 dynasty rankings,647304,647304,Josh Naylor,SEA,55,,
FantraxHQ 2026 dynasty rankings,693433,693433,Bryan Woo,SEA,56,,
FantraxHQ 2026 dynasty rankings,657746,657746,Joe Ryan,MIN,57,,
FantraxHQ 2026 dynasty rankings,669923,669923,George Kirby,SEA,58,,
FantraxHQ 2026 dynasty rankings,608331,608331,Max Fried,NYY,59,,
FantraxHQ 2026 dynasty rankings,661388,661388,William Contreras,MIL,60,,
FantraxHQ 2026 dynasty rankings,665161,665161,Jeremy Pena,HOU,61,,
FantraxHQ 2026 dynasty rankings,663586,663586,Austin Riley,ATL,62,,
FantraxHQ 2026 dynasty rankings,662253,662253,Andres Munoz,SEA,63,,
FantraxHQ 2026 dynasty rankings,608369,13624,Corey Seager,TEX,64,,
FantraxHQ 2026 dynasty rankings,673548,673548,Seiya Suzuki,CHC,65,,
FantraxHQ 2026 dynasty rankings,,,Sebastian Walcott,TEX,66,,
FantraxHQ 2026 dynasty rankings,672695,672695,Geraldo Perdomo,AZ,67,,
FantraxHQ 2026 dynasty rankings,666182,666182,Bo Bichette,FA,68,,
FantraxHQ 2026 dynasty rankings,642547,642547,Freddy Peralta,MIL,69,,
FantraxHQ 2026 dynasty rankings,641355,15998,Cody Bellinger,FA,70,,
FantraxHQ 2026 dynasty rankings,608324,17678,Alex Bregman,FA,71,,
FantraxHQ 2026 dynasty rankings,694212,694212,Samuel Basallo,BAL,72,,
FantraxHQ 2026 dynasty rankings,657277,657277,Logan Webb,SF,73,,
FantraxHQ 2026 dynasty rankings,691016,691016,Tyler Soderstrom,ATH,74,,
FantraxHQ 2026 dynasty rankings,702616,702616,Jackson Holliday,BAL,75,,
FantraxHQ 2026 dynasty rankings,675911,675911,Spencer Strider,ATL,76,,
FantraxHQ 2026 dynasty rankings,680776,680776,Jarren Duran,BOS,77,,
FantraxHQ 2026 dynasty rankings,668930,668930,Brice Turang,MIL,78,,
FantraxHQ 2026 dynasty rankings,672580,672580,Maikel Garcia,KC,79,,
FantraxHQ 2026 dynasty rankings,605483,13543,Blake Snell,LAD,80,,
FantraxHQ 2026 dynasty rankings,683737,683737,Michael Busch,CHC,81,,
FantraxHQ 2026 dynasty rankings,594798,10954,Jacob deGrom,TEX,82,,
FantraxHQ 2026 dynasty rankings,518692,5361,Freddie Freeman,LAD,83,,
FantraxHQ 2026 dynasty rankings,686469,686469,Vinnie Pasquantino,KC,84,,
FantraxHQ 2026 dynasty rankings,519242,10603,Chris Sale,ATL,85,,
FantraxHQ 2026 dynasty rankings,695505,695505,Chase Burns,CIN,86,,
FantraxHQ 2026 dynasty rankings,656302,656302,Dylan Cease,TOR,87,,
FantraxHQ 2026 dynasty rankings,700250,700250,Ben Rice,NYY,88,,
FantraxHQ 2026 dynasty rankings,661395,661395,Jhoan Duran,PHI,89,,
FantraxHQ 2026 dynasty rankings,682663,682663,Agustin Ramirez,MIA,90,,
FantraxHQ 2026 dynasty rankings,806068,806068,Colt Emerson,SEA,91,,
FantraxHQ 2026 dynasty rankings,,,JJ Wetherholt,STL,92,,
FantraxHQ 2026 dynasty rankings,669127,669127,Shea Langeliers,ATH,93,,
FantraxHQ 2026 dynasty rankings,621439,14161,Byron Buxton,MIN,94,,
FantraxHQ 2026 dynasty rankings,621242,14710,Edwin Diaz,LAD,95,,
FantraxHQ 2026 dynasty rankings,665833,665833,Oneil Cruz,PIT,96,,
FantraxHQ 2026 dynasty rankings,666200,666200,Jesus Luzardo,PHI,97,,
FantraxHQ 2026 dynasty rankings,676059,676059,Jordan Westburg,BAL,98,,
FantraxHQ 2026 dynasty rankings,686948,686948,Drake Baldwin,ATL,99,,
FantraxHQ 2026 dynasty rankings,607192,14374,Tyler Glasnow,LAD,100,,
FantraxHQ 2026 dynasty rankings,671732,671732,Lawrence Butler,ATH,101,,
FantraxHQ 2026 dynasty rankings,681624,681624,Andy Pages,LAD,102,,
FantraxHQ 2026 dynasty rankings,694819,694819,Jacob Misiorowski,MIL,103,,
FantraxHQ 2026 dynasty rankings,690997,690997,Nolan McLean,NYM,104,,
FantraxHQ 2026 dynasty rankings,805811,805811,Bryce Eldridge,SF,105,,
FantraxHQ 2026 dynasty rankings,664285,664285,Framber Valdez,FA,106,,
FantraxHQ 2026 dynasty rankings,669065,669065,Kyle Stowers,MIA,107,,
FantraxHQ 2026 dynasty rankings,703601,703601,Max Clark,DET,108,,
FantraxHQ 2026 dynasty rankings,668227,668227,Randy Arozarena,SEA,109,,
FantraxHQ 2026 dynasty rankings,696100,696100,Hunter Goodman,COL,110,,
FantraxHQ 2026 dynasty rankings,671922,671922,Cade Smith,CLE,111,,
FantraxHQ 2026 dynasty rankings,805805,805805,Walker Jenkins,MIN,112,,
FantraxHQ 2026 dynasty rankings,670623,670623,Isaac Paredes,HOU,113,,
FantraxHQ 2026 dynasty rankings,671739,671739,Michael Harris II,ATL,114,,
FantraxHQ 2026 dynasty rankings,642715,642715,Willy Adames,SF,115,,
FantraxHQ 2026 dynasty rankings,592885,11477,Christian Yelich,MIL,116,,
FantraxHQ 2026 dynasty rankings,807712,807712,Luke Keaschall,MIN,117,,
FantraxHQ 2026 dynasty rankings,669257,669257,Will Smith,LAD,118,,
FantraxHQ 2026 dynasty rankings,807713,807713,Matt Shaw,CHC,119,,
FantraxHQ 2026 dynasty rankings,650633,650633,Michael King,SD,120,,
FantraxHQ 2026 dynasty rankings,554430,10310,Zack Wheeler,PHI,121,,
FantraxHQ 2026 dynasty rankings,680694,680694,Kyle Bradish,BAL,122,,
FantraxHQ 2026 dynasty rankings,696149,696149,Bubba Chandler,PIT,123,,
FantraxHQ 2026 dynasty rankings,601713,601713,Nick Pivetta,SD,124,,
FantraxHQ 2026 dynasty rankings,679529,679529,Spencer Torkelson,DET,125,,
FantraxHQ 2026 dynasty rankings,669022,669022,MacKenzie Gore,WSH,126,,
FantraxHQ 2026 dynasty rankings,,,Pablo Lopez,MIN,127,,
FantraxHQ 2026 dynasty rankings,623352,14212,Josh Hader,HOU,128,,
FantraxHQ 2026 dynasty rankings,545361,10155,Mike Trout,LAA,129,,
FantraxHQ 2026 dynasty rankings,678882,678882,Ceddanne Rafaela,BOS,130,,
FantraxHQ 2026 dynasty rankings,686218,686218,Emmet Sheehan,LAD,131,,
FantraxHQ 2026 dynasty rankings,666157,666157,Nick Lodolo,CIN,132,,
FantraxHQ 2026 dynasty rankings,805779,805779,Jacob Wilson,ATH,133,,
FantraxHQ 2026 dynasty rankings,702056,702056,Trey Yesavage,TOR,134,,
FantraxHQ 2026 dynasty rankings,680718,680718,Addison Barger,TOR,135,,
FantraxHQ 2026 dynasty rankings,695506,695506,Jac Caglianone,KC,136,,
FantraxHQ 2026 dynasty rankings,808963,808963,Roki Sasaki,LAD,137,,
FantraxHQ 2026 dynasty rankings,514888,5417,Jose Altuve,HOU,138,,
FantraxHQ 2026 dynasty rankings,666176,666176,Jo Adell,LAA,139,,
FantraxHQ 2026 dynasty rankings,666018,666018,Jonathan Aranda,TB,140,,
FantraxHQ 2026 dynasty rankings,645261,645261,Sandy Alcantara,MIA,141,,
FantraxHQ 2026 dynasty rankings,606192,13066,Teoscar Hernandez,LAD,142,,
FantraxHQ 2026 dynasty rankings,663538,663538,Nico Hoerner,CHC,143,,
FantraxHQ 2026 dynasty rankings,686752,686752,Ryan Pepiot,TB,144,,
FantraxHQ 2026 dynasty rankings,553993,12552,Eugenio Suarez,SEA,145,,
FantraxHQ 2026 dynasty rankings,671218,671218,Heliot Ramos,SF,146,,
FantraxHQ 2026 dynasty rankings,656305,16505,Matt Chapman,SF,147,,
FantraxHQ 2026 dynasty rankings,805795,805795,Aidan Miller,PHI,148,,
FantraxHQ 2026 dynasty rankings,701807,701807,Carson Benge,NYM,149,,
FantraxHQ 2026 dynasty rankings,668909,668909,Gavin Williams,CLE,150,,
FantraxHQ 2026 dynasty rankings,701398,701398,Sal Stewart,CIN,151,,
FantraxHQ 2026 dynasty rankings,,,Luis Pena,MIL,152,,
FantraxHQ 2026 dynasty rankings,671056,671056,Ivan Herrera,STL,153,,
FantraxHQ 2026 dynasty rankings,,,Jackson Jobe,DET,154,,
FantraxHQ 2026 dynasty rankings,,,George Lombard,NYY,155,,
FantraxHQ 2026 dynasty rankings,702262,683003,Jared Jones,PIT,156,,
FantraxHQ 2026 dynasty rankings,673357,673357,Luis Robert Jr.,CWS,157,,
FantraxHQ 2026 dynasty rankings,683953,683953,Travis Bazzana,CLE,158,,
FantraxHQ 2026 dynasty rankings,656876,656876,Drew Rasmussen,TB,159,,
FantraxHQ 2026 dynasty rankings,837227,837227,Tatsuya Imai,FA,160,,
FantraxHQ 2026 dynasty rankings,693645,693645,Cam Schlittler,NYY,161,,
FantraxHQ 2026 dynasty rankings,806258,806258,Thomas White,MIA,162,,
FantraxHQ 2026 dynasty rankings,642207,642207,Devin Williams,NYM,163,,
FantraxHQ 2026 dynasty rankings,668904,668904,Royce Lewis,MIN,164,,
FantraxHQ 2026 dynasty rankings,669358,669358,Shane Baz,TB,165,,
FantraxHQ 2026 dynasty rankings,,,Eduardo Quintero,LAD,166,,
FantraxHQ 2026 dynasty rankings,645277,16556,Ozzie Albies,ATL,167,,
FantraxHQ 2026 dynasty rankings,592662,11486,Robbie Ray,SF,168,,
FantraxHQ 2026 dynasty rankings,691176,691176,Jasson Dominguez,NYY,169,,
FantraxHQ 2026 dynasty rankings,680757,680757,Steven Kwan,CLE,170,,
FantraxHQ 2026 dynasty rankings,682243,682243,Bryce Miller,SEA,171,,
FantraxHQ 2026 dynasty rankings,628452,17130,Raisel Iglesias,ATL,172,,
FantraxHQ 2026 dynasty rankings,663460,663460,Kris Bubic,KC,173,,
FantraxHQ 2026 dynasty rankings,,,Bryce Rainer,DET,174,,
FantraxHQ 2026 dynasty rankings,682622,682622,Noelvi Marte,CIN,175,,
FantraxHQ 2026 dynasty rankings,607074,16137,Carlos Rodon,NYY,176,,
FantraxHQ 2026 dynasty rankings,668939,668939,Adley Rutschman,BAL,177,,
FantraxHQ 2026 dynasty rankings,684007,684007,Shota Imanaga,CHC,178,,
FantraxHQ 2026 dynasty rankings,681481,681481,Kerry Carpenter,DET,179,,
FantraxHQ 2026 dynasty rankings,801139,801139,Payton Tolle,BOS,180,,
FantraxHQ 2026 dynasty rankings,669456,669456,Shane Bieber,TOR,181,,
FantraxHQ 2026 dynasty rankings,686611,686611,Dylan Crews,WSH,182,,
FantraxHQ 2026 dynasty rankings,700932,700932,Kyle Manzardo,CLE,183,,
FantraxHQ 2026 dynasty rankings,665795,665795,Edward Cabrera,MIA,184,,
FantraxHQ 2026 dynasty rankings,680570,680570,Grayson Rodriguez,LAA,185,,
FantraxHQ 2026 dynasty rankings,624133,624133,Ranger Suarez,PHI,186,,
FantraxHQ 2026 dynasty rankings,592332,14107,Kevin Gausman,TOR,187,,
FantraxHQ 2026 dynasty rankings,622491,699127,Luis Castillo,SEA,188,,
FantraxHQ 2026 dynasty rankings,692225,692225,Kristian Campbell,BOS,189,,
FantraxHQ 2026 dynasty rankings,800543,800543,Josue De Paula,LAD,190,,
FantraxHQ 2026 dynasty rankings,650490,650490,Yandy Diaz,TB,191,,
FantraxHQ 2026 dynasty rankings,669203,669203,Corbin Burnes,AZ,192,,
FantraxHQ 2026 dynasty rankings,677800,677800,Wilyer Abreu,BOS,193,,
FantraxHQ 2026 dynasty rankings,695657,695657,Colson Montgomery,CWS,194,,
FantraxHQ 2026 dynasty rankings,805300,805300,Jakob Marsee,MIA,195,,
FantraxHQ 2026 dynasty rankings,695734,695734,Daylen Lile,WSH,196,,
FantraxHQ 2026 dynasty rankings,543135,9132,Nathan Eovaldi,TEX,197,,
FantraxHQ 2026 dynasty rankings,701358,701358,Cam Smith,HOU,198,,
FantraxHQ 2026 dynasty rankings,690990,690990,Cade Horton,CHC,199,,
FantraxHQ 2026 dynasty rankings,686217,686217,Sal Frelick,MIL,200,,
FantraxHQ 2026 dynasty rankings,657006,657006,Justin Steele,CHC,201,,
FantraxHQ 2026 dynasty rankings,,,Kade Anderson,SEA,202,,
FantraxHQ 2026 dynasty rankings,543243,12768,Sonny Gray,BOS,203,,
FantraxHQ 2026 dynasty rankings,676440,676440,Tanner Bibee,CLE,204,,
FantraxHQ 2026 dynasty rankings,670280,670280,David Bednar,NYY,205,,
FantraxHQ 2026 dynasty rankings,802415,802415,Chandler Simpson,TB,206,,
FantraxHQ 2026 dynasty rankings,691785,691785,Marcelo Mayer,BOS,207,,
FantraxHQ 2026 dynasty rankings,,,Ethan Holliday,COL,208,,
FantraxHQ 2026 dynasty rankings,664023,664023,Ian Happ,CHC,209,,
FantraxHQ 2026 dynasty rankings,605400,16149,Aaron Nola,PHI,210,,
FantraxHQ 2026 dynasty rankings,605540,605540,Brandon Woodruff,MIL,211,,
FantraxHQ 2026 dynasty rankings,607043,12927,Brandon Nimmo,TEX,212,,
FantraxHQ 2026 dynasty rankings,621493,621493,Taylor Ward,BAL,213,,
FantraxHQ 2026 dynasty rankings,673237,673237,Yainer Diaz,HOU,214,,
FantraxHQ 2026 dynasty rankings,543807,12856,George Springer,TOR,215,,
FantraxHQ 2026 dynasty rankings,543037,13125,Gerrit Cole,NYY,216,,
FantraxHQ 2026 dynasty rankings,691019,691019,Kyle Teel,CWS,217,,
FantraxHQ 2026 dynasty rankings,664854,664854,Ryan Helsley,BAL,218,,
FantraxHQ 2026 dynasty rankings,575929,11609,Willson Contreras,STL,219,,
FantraxHQ 2026 dynasty rankings,666160,666160,Mickey Moniak,COL,220,,
FantraxHQ 2026 dynasty rankings,,,Eli Willits,WSH,221,,
FantraxHQ 2026 dynasty rankings,686668,686668,Brenton Doyle,COL,222,,
FantraxHQ 2026 dynasty rankings,662139,662139,Daulton Varsho,TOR,223,,
FantraxHQ 2026 dynasty rankings,,,Zyhir Hope,LAD,224,,
FantraxHQ 2026 dynasty rankings,691725,691725,Andrew Painter,PHI,225,,
FantraxHQ 2026 dynasty rankings,669364,669364,Xavier Edwards,MIA,226,,
FantraxHQ 2026 dynasty rankings,804636,804636,Jonah Tong,NYM,227,,
FantraxHQ 2026 dynasty rankings,823787,823787,Rainiel Rodriguez,STL,228,,
FantraxHQ 2026 dynasty rankings,,,Lazaro Montes,SEA,229,,
FantraxHQ 2026 dynasty rankings,800522,800522,Josue Briceno,DET,230,,
FantraxHQ 2026 dynasty rankings,694462,694462,Hurston Waldrep,ATL,231,,
FantraxHQ 2026 dynasty rankings,702281,702281,Robby Snelling,MIA,232,,
FantraxHQ 2026 dynasty rankings,621020,18314,Dansby Swanson,CHC,233,,
FantraxHQ 2026 dynasty rankings,681297,681297,Colton Cowser,BAL,234,,
FantraxHQ 2026 dynasty rankings,671096,671096,Andrew Abbott,CIN,235,,
FantraxHQ 2026 dynasty rankings,702518,702518,Jett Williams,NYM,236,,
FantraxHQ 2026 dynasty rankings,678662,678662,Ezequiel Tovar,COL,237,,
FantraxHQ 2026 dynasty rankings,672386,672386,Alejandro Kirk,TOR,238,,
FantraxHQ 2026 dynasty rankings,691723,691723,Coby Mayo,BAL,239,,
FantraxHQ 2026 dynasty rankings,691026,691026,Masyn Winn,STL,240,,
FantraxHQ 2026 dynasty rankings,680574,680574,Matt McLain,CIN,241,,
FantraxHQ 2026 dynasty rankings,596115,12564,Trevor Story,BOS,242,,
FantraxHQ 2026 dynasty rankings,676974,676974,Max Meyer,MIA,243,,
FantraxHQ 2026 dynasty rankings,,,AJ Smith-Shawver,ATL,244,,
FantraxHQ 2026 dynasty rankings,664040,664040,Brandon Lowe,TB,245,,
FantraxHQ 2026 dynasty rankings,695600,695600,Carter Jensen,KC,246,,
FantraxHQ 2026 dynasty rankings,669432,669432,Trevor Rogers,BAL,247,,
FantraxHQ 2026 dynasty rankings,668804,668804,Bryan Reynolds,PIT,248,,
